Rwt,deltaR,Rfinal,mu,allottedGens,spills,nTooBig,pUnfinished,pEmergent,pExtinct,Emergent_size,Extinct_size,Emergent_generation,Extinct_generation
1.175,0.6,3.0,0.001,100.0,1000.0,0,0.0,0.265,0.735,,6.355102040816327,54.44150943396227,3.195918367346939
1.175,0.7,3.0,0.001,100.0,1000.0,0,0.0,0.28,0.72,,5.251388888888889,53.22857142857143,3.0125
1.175,0.8,3.0,0.001,100.0,1000.0,0,0.0,0.306,0.694,,6.596541786743516,50.77450980392157,3.3688760806916425
1.175,0.9,3.0,0.001,100.0,1000.0,0,0.0,0.29,0.71,,6.154929577464789,48.92758620689655,3.140845070422535
1.175,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.302,0.698,51864352.03731343,5.925501432664756,96.06622516556291,3.226361031518625
1.1875,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.291,0.709,56693055.9,5.877291960507757,85.80412371134021,3.1960507757404795
1.1875,0.2,3.0,0.001,100.0,1000.0,0,0.0,0.291,0.709,43778766.0,6.02820874471086,74.35051546391753,3.227080394922426
1.1875,0.3,3.0,0.001,100.0,1000.0,0,0.0,0.299,0.701,5888018.0,6.449358059914408,64.47491638795987,3.455064194008559
1.1875,0.4,3.0,0.001,100.0,1000.0,0,0.0,0.317,0.683,1200707.0,5.8960468521229865,60.17350157728707,3.178623718887262
1.1875,0.5,3.0,0.001,100.0,1000.0,0,0.0,0.313,0.687,,5.775836972343523,56.43769968051118,3.2503639010189227
1.1875,0.6,3.0,0.001,100.0,1000.0,0,0.0,0.281,0.719,,5.216968011126565,53.3914590747331,2.9541029207232268
1.1875,0.7,3.0,0.001,100.0,1000.0,0,0.0,0.301,0.699,,6.1144492131616595,51.48504983388705,3.278969957081545
1.1875,0.8,3.0,0.001,100.0,1000.0,0,0.0,0.29,0.71,,5.198591549295775,50.51379310344828,3.036619718309859
1.1875,0.9,3.0,0.001,100.0,1000.0,0,0.0,0.314,0.686,,6.072886297376093,47.73566878980892,3.138483965014577
1.1875,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.299,0.701,59618015.345454544,5.898716119828816,92.29765886287625,3.2353780313837377
1.2,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.319,0.681,75960545.42857143,5.641703377386197,81.77742946708464,3.1600587371512483
