Rwt,deltaR,Rfinal,mu,allottedGens,spills,nTooBig,pUnfinished,pEmergent,pExtinct,Emergent_size,Extinct_size,Emergent_generation,Extinct_generation
1.35,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.48,0.52,,3.4384615384615387,54.86666666666667,2.4692307692307693
1.35,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.462,0.538,,3.2472118959107807,47.98268398268398,2.3717472118959106
1.35,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.465,0.535,,3.5626168224299066,56.847311827956986,2.532710280373832
1.4,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.53,0.47,,3.4851063829787234,50.81698113207547,2.3851063829787233
1.4,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.546,0.454,,3.2246696035242293,50.57509157509158,2.3612334801762116
1.4,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.513,0.487,,2.8706365503080082,50.05653021442495,2.186858316221766
1.4,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.503,0.497,,3.046277665995976,45.290258449304176,2.3158953722334004
1.4,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.515,0.485,,2.804123711340206,50.89902912621359,2.1237113402061856
1.45,0.02,3.0,0.001,100.0,1000.0,0,0.0,0.532,0.468,,3.284188034188034,46.3984962406015,2.373931623931624
1.45,0.05,3.0,0.001,100.0,1000.0,0,0.0,0.564,0.436,,2.768348623853211,46.473404255319146,2.1307339449541285
1.45,0.1,3.0,0.001,100.0,1000.0,0,0.0,0.567,0.433,,2.861431870669746,45.67901234567901,2.1039260969976907
1.45,0.25,3.0,0.001,100.0,1000.0,0,0.0,0.56,0.44,,3.0295454545454548,41.86964285714286,2.3
1.45,1.0,3.0,0.001,100.0,1000.0,0,0.0,0.567,0.433,,2.9399538106235568,46.72839506172839,2.2147806004618937
