pEmergent,pExtinct,Emergent_size,Extinct_size,Emergent_generation,Extinct_generation
0.757,0.243,,2.0534979423868314,30.42536327608983,1.7777777777777777
0.716,0.28400000000000003,,1.852112676056338,30.22486033519553,1.6654929577464788
0.745,0.255,,1.9137254901960785,29.94765100671141,1.7058823529411764
0.74,0.26,,1.7961538461538462,29.574324324324323,1.626923076923077
0.725,0.275,,2.0472727272727274,30.586206896551722,1.7672727272727273
0.725,0.275,,1.8545454545454545,30.69103448275862,1.6363636363636365
0.736,0.264,,1.9318181818181819,30.66983695652174,1.7159090909090908
0.717,0.28300000000000003,,1.9363957597173145,30.602510460251047,1.7173144876325088
0.754,0.246,,1.8821138211382114,30.631299734748012,1.6626016260162602
0.778,0.22199999999999998,,1.7522522522522523,29.358611825192803,1.6261261261261262
0.768,0.23199999999999998,,1.7974137931034482,29.229166666666668,1.6336206896551724
0.745,0.255,,1.8196078431372549,29.088590604026844,1.6274509803921569
0.726,0.274,,1.8175182481751824,28.78099173553719,1.6131386861313868
0.743,0.257,,1.7859922178988328,28.643337819650068,1.6070038910505837
0.735,0.265,,1.8679245283018868,29.306122448979593,1.679245283018868
0.759,0.241,,1.83402489626556,29.35836627140975,1.6680497925311204
0.72,0.28,,2.0464285714285713,29.343055555555555,1.792857142857143
0.741,0.259,,1.7297297297297298,29.360323886639677,1.5405405405405406
0.728,0.272,,2.025735294117647,29.320054945054945,1.75
0.783,0.21699999999999997,,1.6682027649769586,28.15964240102171,1.5161290322580645
0.765,0.235,,1.6936170212765957,28.137254901960784,1.553191489361702
0.773,0.22699999999999998,,1.669603524229075,27.979301423027167,1.5594713656387664
0.767,0.23299999999999998,,2.0128755364806867,27.758800521512384,1.7339055793991416
0.78,0.21999999999999997,,1.6772727272727272,27.623076923076923,1.5636363636363637
0.753,0.247,,1.9230769230769231,28.237715803452854,1.6963562753036436
0.785,0.21499999999999997,,1.7255813953488373,28.25605095541401,1.586046511627907
0.766,0.23399999999999999,,1.7136752136752136,28.272845953002612,1.5726495726495726
0.759,0.241,,1.7842323651452283,28.25955204216074,1.6141078838174274
0.763,0.237,,1.839662447257384,28.28964613368283,1.6033755274261603
0.789,0.21099999999999997,,1.853080568720379,27.09252217997465,1.6113744075829384
0.763,0.237,,1.8354430379746836,26.976408912188727,1.6540084388185654
0.771,0.22899999999999998,,1.8122270742358078,26.993514915693904,1.6157205240174672
0.771,0.22899999999999998,,1.6637554585152838,26.79377431906615,1.5109170305676856
0.79,0.20999999999999996,,1.7,26.736708860759492,1.5857142857142856
0.787,0.21299999999999997,,1.8309859154929577,27.16010165184244,1.6384976525821595
0.772,0.22799999999999998,,1.881578947368421,27.208549222797927,1.6710526315789473
0.783,0.21699999999999997,,1.8387096774193548,27.284802043422733,1.663594470046083
0.799,0.20099999999999996,,1.800995024875622,27.240300375469335,1.6218905472636815
0.782,0.21799999999999997,,1.834862385321101,27.176470588235293,1.6330275229357798
